sample,temperature_c
0,17.152
1,16.485
2,17.394
3,17.513
4,16.100
5,16.467
6,17.234
7,17.073
8,17.293
9,16.954
10,17.908
11,17.954
12,17.703
13,18.347
14,18.138
15,17.604
16,18.354
17,17.834
18,18.904
19,18.597
20,18.694
21,18.616
22,19.743
23,19.236
24,19.286
25,19.515
26,20.153
27,20.269
28,20.496
29,20.712
30,21.777
31,20.715
32,20.876
33,20.940
34,21.872
35,22.346
36,21.943
37,21.798
38,22.024
39,22.978
40,23.240
41,23.354
42,22.961
43,23.620
44,23.768
45,24.023
46,24.549
47,24.421
48,24.839
49,24.720
50,25.012
51,25.359
52,24.485
53,25.218
54,25.300
55,25.367
56,25.693
57,26.714
58,25.663
59,26.701
60,25.489
61,26.268
62,26.613
63,26.913
64,27.054
65,27.165
66,26.655
67,26.650
68,27.353
69,26.862
70,26.343
71,26.429
72,26.540
73,27.244
74,27.052
75,27.302
76,26.710
77,26.961
78,27.142
79,26.614
80,26.927
81,26.288
82,26.350
83,26.244
84,25.732
85,26.460
86,25.861
87,25.973
88,26.071
89,25.910
90,25.868
91,25.329
92,25.002
93,25.004
94,24.024
95,23.963
96,23.839
97,23.810
98,24.313
99,23.461
100,23.521
101,24.153
102,23.116
103,23.451
104,22.401
105,22.550
106,21.961
107,22.049
108,22.420
109,20.918
110,21.781
111,21.466
112,20.835
113,20.195
114,20.742
115,20.232
116,20.406
117,20.098
118,20.688
119,19.572
120,18.988
121,19.403
122,19.242
123,19.636
124,19.204
125,18.800
126,19.196
127,17.719
128,17.850
129,17.570
130,17.709
131,17.095
132,17.987
133,17.454
134,16.733
135,16.873
136,17.458
137,17.650
138,18.169
139,18.575
140,17.283
141,16.548
142,15.953
143,17.139
144,16.594
145,16.797
146,16.713
147,16.972
148,17.609
149,17.197
150,17.091
151,16.714
152,16.464
153,17.137
154,17.442
155,18.449
156,17.735
157,18.274
158,17.655
159,17.441
160,17.687
161,17.951
162,19.529
163,18.211
164,19.205
165,18.505
166,19.598
167,19.506
168,19.422
169,19.671
170,19.560
171,20.310
172,20.062
173,19.884
174,20.067
175,21.004
176,21.921
177,21.427
178,21.505
179,21.925
180,22.653
181,22.328
182,22.230
183,23.206
184,23.083
185,23.850
186,23.386
187,22.891
188,23.026
189,24.739
190,24.975
191,24.219
192,24.308
193,25.417
194,24.314
195,24.596
196,25.536
197,25.181
198,25.533
199,25.605
200,25.999
201,26.671
202,26.141
203,26.539
204,25.305
205,26.411
206,26.110
207,26.010
208,26.259
209,26.602
210,27.288
211,26.218
212,26.939
213,26.715
214,26.817
215,27.497
216,27.269
217,27.664
218,26.904
219,26.609
220,26.812
221,27.003
222,26.918
223,26.226
224,26.744
225,26.734
226,27.790
227,27.373
228,25.904
229,26.073
230,25.364
231,25.671
232,25.988
233,26.289
234,25.171
235,25.051
236,24.140
237,24.962
238,24.337
239,24.422
240,24.062
241,24.262
242,23.234
243,23.180
244,24.775
245,22.860
246,22.746
247,24.001
248,24.321
249,22.067
250,22.252
251,22.389
252,22.864
253,21.288
254,21.442
255,21.736
256,21.349
257,20.730
258,20.639
259,19.809
260,20.171
261,19.953
262,20.003
263,19.414
264,19.736
265,19.820
266,19.210
267,19.132
268,18.813
269,18.622
270,18.104
271,18.472
272,18.121
273,19.080
274,18.691
275,17.976
276,17.288
277,17.009
278,18.064
279,17.512
280,17.542
281,16.359
282,17.634
283,17.346
284,16.521
285,16.807
286,17.151
287,17.031
288,16.854
289,16.953
290,16.893
291,17.119
292,17.812
293,15.835
294,17.052
295,17.320
296,17.450
297,17.195
298,16.590
299,17.729
300,18.534
301,17.016
302,18.336
303,17.869
304,18.139
305,17.787
306,18.297
307,19.272
308,19.077
309,19.822
310,19.721
311,19.533
312,20.372
313,19.911
314,20.301
315,19.938
316,20.323
317,20.148
318,21.201
319,20.329
320,21.523
321,21.252
322,22.150
323,22.157
324,22.910
325,22.583
326,21.650
327,22.619
328,22.282
329,22.823
330,24.050
331,23.822
332,23.361
333,23.407
334,24.129
335,23.700
336,24.164
337,24.843
338,25.446
339,25.348
340,24.068
341,25.530
342,25.572
343,25.893
344,26.638
345,24.935
346,25.800
347,26.512
348,25.539
349,27.173
350,26.716
351,27.043
352,26.413
353,27.175
354,27.364
355,26.998
356,27.041
357,27.092
358,26.549
359,26.921
360,26.924
361,27.187
362,27.481
363,26.428
364,26.862
365,27.622
366,26.458
367,26.357
368,26.800
369,27.042
370,26.537
371,27.100
372,26.759
373,26.638
374,26.373
375,27.131
376,25.728
377,24.685
378,26.338
379,25.149
380,25.268
381,25.699
382,24.067
383,24.061
384,23.699
385,23.912
386,24.333
387,24.176
388,23.848
389,22.797
390,22.139
391,23.109
392,22.632
393,22.882
394,22.787
395,22.287
396,22.380
397,21.897
398,21.829
399,20.995
400,21.042
401,21.016
402,21.116
403,20.300
404,20.550
405,19.954
406,19.828
407,20.106
408,18.503
409,18.665
410,18.391
